Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
RAVINDRA JADEJA,2012-04-28,0,15,15.0,0.66,18.72,7.68,0.5,22.5,8.6,0
RAVINDRA JADEJA,2012-04-30,0,13,6.5,0.64,18.61,7.9,0.5,21.5,9.98,2
RAVINDRA JADEJA,2012-05-04,0,25,8.33,0.62,18.44,7.86,0.0,20.25,9.36,0
RAVINDRA JADEJA,2012-05-06,2,12,6.0,0.6,18.63,7.87,0.0,21.25,10.12,52
RAVINDRA JADEJA,2012-05-10,1,21,5.25,0.64,18.44,7.82,0.5,16.25,8.96,29
RAVINDRA JADEJA,2012-05-12,0,11,11.0,0.65,18.51,7.75,0.75,17.75,6.52,0
RAVINDRA JADEJA,2012-05-14,1,39,9.75,0.63,18.32,7.83,0.75,17.25,7.64,25
RAVINDRA JADEJA,2012-05-23,1,15,7.5,0.64,18.85,7.88,1.0,20.75,8.0,25
RAVINDRA JADEJA,2013-04-06,0,12,6.0,0.65,18.75,7.87,0.75,21.5,8.38,2
RAVINDRA JADEJA,2013-04-10,1,29,7.25,0.63,18.59,7.83,0.5,19.25,8.56,25
RAVINDRA JADEJA,2013-04-13,0,20,10.0,0.64,18.83,7.81,0.75,23.75,7.62,0
RAVINDRA JADEJA,2013-04-15,1,27,6.75,0.63,18.86,7.86,0.5,19.0,7.69,27
RAVINDRA JADEJA,2013-04-18,1,21,5.25,0.64,19.05,7.84,0.5,22.0,7.5,29
RAVINDRA JADEJA,2013-04-20,3,20,5.0,0.64,19.09,7.78,0.75,24.25,7.31,79
RAVINDRA JADEJA,2013-04-22,0,45,15.0,0.7,19.11,7.72,1.25,22.0,6.75,0
RAVINDRA JADEJA,2013-04-25,0,8,8.0,0.68,19.66,7.88,1.25,28.25,8.0,0
RAVINDRA JADEJA,2013-04-28,0,13,6.5,0.67,19.42,7.88,1.0,23.5,8.31,2
RAVINDRA JADEJA,2013-04-30,1,26,6.5,0.65,19.29,7.85,0.75,21.5,8.62,27
RAVINDRA JADEJA,2013-05-05,3,29,7.25,0.66,19.42,7.82,0.25,23.0,9.0,75
RAVINDRA JADEJA,2013-05-08,0,14,7.0,0.71,19.61,7.81,1.0,19.0,7.06,0
RAVINDRA JADEJA,2013-05-12,0,9,8.18,0.69,19.5,7.8,1.0,20.5,6.81,0
RAVINDRA JADEJA,2013-05-21,3,31,7.75,0.68,19.3,7.8,1.0,19.5,7.23,75
RAVINDRA JADEJA,2013-05-26,0,19,9.5,0.72,19.52,7.8,1.5,20.75,7.54,0
RAVINDRA JADEJA,2014-04-18,0,43,10.75,0.71,19.51,7.83,0.75,18.25,8.11,0
RAVINDRA JADEJA,2014-04-21,2,18,7.5,0.7,19.93,7.89,0.75,25.5,9.04,50
RAVINDRA JADEJA,2014-04-23,4,33,8.25,0.72,19.89,7.88,1.25,27.75,8.88,100
RAVINDRA JADEJA,2014-04-25,0,14,14.0,0.78,20.12,7.89,1.5,28.25,9.0,0
RAVINDRA JADEJA,2014-04-27,0,23,7.67,0.76,20.02,7.99,1.5,27.0,10.12,0
RAVINDRA JADEJA,2014-05-02,4,12,3.0,0.75,20.07,7.98,1.5,22.0,9.36,106
RAVINDRA JADEJA,2014-05-05,1,23,5.75,0.8,19.93,7.9,2.0,20.5,8.23,29
RAVINDRA JADEJA,2014-05-07,0,37,12.33,0.81,19.98,7.87,1.25,18.0,7.6,0
RAVINDRA JADEJA,2014-05-10,0,33,8.25,0.79,20.25,7.94,1.25,23.75,7.19,0
RAVINDRA JADEJA,2014-05-13,2,18,4.5,0.78,20.45,7.94,1.25,26.25,7.33,56
RAVINDRA JADEJA,2014-05-18,1,31,7.75,0.8,20.42,7.89,0.75,27.75,7.71,25
RAVINDRA JADEJA,2014-05-20,1,23,7.67,0.8,20.58,7.89,0.75,29.75,8.21,25
RAVINDRA JADEJA,2014-05-22,1,42,12.35,0.81,20.61,7.88,1.0,26.25,7.04,25
RAVINDRA JADEJA,2014-05-24,1,14,7.0,0.81,20.93,7.95,1.25,28.5,8.07,25
RAVINDRA JADEJA,2014-05-28,2,31,7.75,0.81,20.83,7.94,1.0,27.5,8.69,50
RAVINDRA JADEJA,2014-05-30,0,48,12.0,0.83,20.97,7.93,1.25,27.5,8.69,0
RAVINDRA JADEJA,2015-04-11,0,17,17.0,0.82,21.35,7.99,1.0,33.75,9.77,0
RAVINDRA JADEJA,2015-04-17,0,49,12.25,0.81,21.29,8.12,0.75,27.5,10.94,0
RAVINDRA JADEJA,2015-04-19,1,29,7.25,0.79,21.67,8.17,0.5,36.25,12.25,25
RAVINDRA JADEJA,2015-04-22,1,37,9.25,0.8,21.77,8.16,0.25,35.75,12.12,25
RAVINDRA JADEJA,2015-04-25,3,22,5.5,0.8,21.97,8.18,0.5,33.0,11.44,79
RAVINDRA JADEJA,2015-04-28,0,11,3.67,0.83,21.97,8.14,1.25,34.25,8.56,6
RAVINDRA JADEJA,2015-04-30,0,25,12.5,0.82,21.83,8.08,1.25,24.75,6.42,0
RAVINDRA JADEJA,2015-05-04,0,11,5.5,0.81,21.87,8.14,1.0,23.75,7.73,4
RAVINDRA JADEJA,2015-05-08,0,27,6.75,0.8,21.73,8.11,0.75,17.25,6.79,2
RAVINDRA JADEJA,2015-05-10,4,11,2.75,0.79,21.8,8.09,0.0,18.5,7.1,106
RAVINDRA JADEJA,2015-05-12,0,16,6.67,0.83,21.67,8.02,1.0,18.5,6.88,2
RAVINDRA JADEJA,2015-05-16,1,18,6.0,0.82,21.6,8.01,1.0,16.25,5.42,27
RAVINDRA JADEJA,2015-05-19,1,18,9.0,0.82,21.55,7.98,1.25,18.0,5.54,25
RAVINDRA JADEJA,2015-05-22,0,13,13.0,0.82,21.51,7.99,1.5,15.75,6.1,0
RAVINDRA JADEJA,2015-05-24,0,26,13.0,0.81,21.41,8.05,0.5,16.25,8.67,0
RAVINDRA JADEJA,2016-04-11,2,30,7.5,0.8,21.47,8.11,0.5,18.75,10.25,50
RAVINDRA JADEJA,2016-04-14,2,18,4.5,0.82,21.56,8.1,0.75,21.75,10.62,56
RAVINDRA JADEJA,2016-04-21,0,20,8.0,0.83,21.52,8.06,1.0,21.75,9.5,0
RAVINDRA JADEJA,2016-04-24,0,17,5.67,0.82,21.51,8.06,1.0,23.5,8.25,4
RAVINDRA JADEJA,2016-04-27,0,14,14.0,0.81,21.46,8.04,1.0,21.25,6.42,0
RAVINDRA JADEJA,2016-04-29,0,37,9.25,0.8,21.37,8.1,0.5,17.25,8.04,0
RAVINDRA JADEJA,2016-05-01,1,28,9.33,0.79,21.54,8.11,0.0,22.0,9.23,25
RAVINDRA JADEJA,2016-05-03,1,21,9.55,0.8,21.61,8.13,0.25,24.0,9.56,25
RAVINDRA JADEJA,2016-05-06,0,14,7.0,0.8,21.61,8.14,0.5,25.0,10.53,0
RAVINDRA JADEJA,2016-05-08,0,25,8.33,0.79,21.53,8.13,0.5,25.0,8.78,0
RAVINDRA JADEJA,2016-05-14,0,34,8.5,0.78,21.56,8.13,0.5,22.0,8.55,0
RAVINDRA JADEJA,2016-05-19,0,17,8.5,0.77,21.69,8.14,0.25,23.5,8.35,0
RAVINDRA JADEJA,2016-05-21,0,15,15.0,0.77,21.64,8.14,0.0,22.5,8.08,0
RAVINDRA JADEJA,2016-05-24,2,21,5.25,0.76,21.58,8.21,0.0,22.75,10.08,54
RAVINDRA JADEJA,2017-04-14,1,40,10.0,0.77,21.57,8.18,0.5,21.75,9.31,25
RAVINDRA JADEJA,2017-04-16,0,34,8.5,0.77,21.75,8.2,0.75,23.25,9.69,0
RAVINDRA JADEJA,2017-04-18,0,57,14.25,0.76,21.87,8.2,0.75,27.5,9.69,0
RAVINDRA JADEJA,2017-04-21,0,31,7.75,0.76,22.21,8.26,0.75,38.0,9.5,0
RAVINDRA JADEJA,2017-04-23,1,32,8.0,0.75,22.3,8.25,0.25,40.5,10.12,25
RAVINDRA JADEJA,2017-04-27,2,28,7.0,0.75,22.39,8.25,0.25,38.5,9.62,50
RAVINDRA JADEJA,2017-04-29,0,11,11.0,0.76,22.44,8.24,0.75,37.0,9.25,0
RAVINDRA JADEJA,2017-05-01,0,19,9.5,0.76,22.34,8.27,0.75,25.5,8.44,0
RAVINDRA JADEJA,2017-05-04,1,28,14.0,0.75,22.31,8.28,0.75,22.5,8.88,25
RAVINDRA JADEJA,2017-05-07,0,19,9.5,0.75,22.36,8.33,0.75,21.5,10.38,0
RAVINDRA JADEJA,2017-05-10,0,31,7.75,0.75,22.33,8.34,0.25,19.25,11.0,0
RAVINDRA JADEJA,2017-05-13,0,19,6.33,0.74,22.41,8.33,0.25,24.25,10.19,2
RAVINDRA JADEJA,2018-04-07,0,9,9.0,0.73,22.38,8.32,0.25,24.25,9.4,0
RAVINDRA JADEJA,2018-04-10,1,19,9.5,0.73,22.26,8.32,0.0,19.5,8.14,25
RAVINDRA JADEJA,2018-04-20,0,6,6.0,0.73,22.23,8.33,0.25,19.5,8.14,2
RAVINDRA JADEJA,2018-04-22,0,28,7.0,0.72,22.09,8.31,0.25,13.25,7.71,0
RAVINDRA JADEJA,2018-04-25,0,22,11.0,0.72,22.14,8.3,0.25,15.5,7.88,0
RAVINDRA JADEJA,2018-04-30,1,31,7.75,0.71,22.14,8.32,0.25,18.75,8.38,25
RAVINDRA JADEJA,2018-05-03,1,39,9.75,0.71,22.21,8.32,0.25,21.75,7.94,25
RAVINDRA JADEJA,2018-05-05,3,18,4.5,0.71,22.35,8.33,0.5,30.0,8.88,81
RAVINDRA JADEJA,2018-05-11,1,28,7.0,0.73,22.32,8.3,1.25,27.5,8.25,25
RAVINDRA JADEJA,2018-05-13,0,24,12.0,0.74,22.36,8.29,1.5,29.0,7.25,0
RAVINDRA JADEJA,2018-05-18,1,19,4.75,0.73,22.38,8.32,1.25,27.25,8.31,31
RAVINDRA JADEJA,2018-05-20,1,23,7.67,0.73,22.35,8.29,1.25,22.25,7.06,25
RAVINDRA JADEJA,2018-05-22,1,13,3.25,0.73,22.35,8.29,0.75,23.5,7.86,31
RAVINDRA JADEJA,2018-05-27,1,24,12.0,0.74,22.28,8.24,0.75,19.75,6.92,25
RAVINDRA JADEJA,2019-03-23,2,15,3.75,0.74,22.29,8.27,1.0,19.75,6.92,56
RAVINDRA JADEJA,2019-03-26,1,23,5.75,0.75,22.24,8.24,1.25,18.75,6.67,29
RAVINDRA JADEJA,2019-03-31,0,23,11.5,0.75,22.24,8.22,1.25,18.75,6.19,0
RAVINDRA JADEJA,2019-04-03,1,10,5.0,0.74,22.25,8.25,1.0,21.25,8.25,29
RAVINDRA JADEJA,2019-04-06,0,24,6.0,0.75,22.15,8.22,1.0,17.75,6.5,2
RAVINDRA JADEJA,2019-04-09,1,17,4.25,0.74,22.17,8.2,0.5,20.0,7.06,31
RAVINDRA JADEJA,2019-04-11,2,20,5.0,0.74,22.13,8.17,0.5,18.5,6.69,54
RAVINDRA JADEJA,2019-04-14,0,49,12.25,0.75,22.11,8.15,1.0,17.75,5.06,0
RAVINDRA JADEJA,2019-04-17,0,22,5.5,0.75,22.31,8.18,0.75,27.5,6.88,4
RAVINDRA JADEJA,2019-04-21,2,29,7.25,0.74,22.31,8.16,0.75,27.0,6.75,50
RAVINDRA JADEJA,2019-04-23,0,33,8.25,0.75,22.36,8.15,1.0,30.0,7.5,0
RAVINDRA JADEJA,2019-05-01,3,9,3.0,0.74,22.44,8.15,0.5,33.25,8.31,81
RAVINDRA JADEJA,2019-05-05,1,16,8.0,0.76,22.34,8.12,1.25,23.25,6.0,25
RAVINDRA JADEJA,2019-05-07,0,18,4.5,0.76,22.29,8.12,1.5,21.75,6.62,6
RAVINDRA JADEJA,2019-05-10,2,23,7.67,0.76,22.26,8.09,1.0,19.0,5.94,50
RAVINDRA JADEJA,2019-05-12,0,12,6.0,0.77,22.27,8.09,1.5,16.5,5.79,2
RAVINDRA JADEJA,2020-09-19,2,42,10.5,0.76,22.2,8.07,0.75,17.25,6.54,50
RAVINDRA JADEJA,2020-09-22,0,40,10.0,0.77,22.34,8.09,1.0,23.75,7.17,0
RAVINDRA JADEJA,2020-09-25,0,44,11.0,0.76,22.46,8.1,1.0,29.25,8.54,0
RAVINDRA JADEJA,2020-10-02,0,16,8.0,0.76,22.61,8.12,0.5,34.5,9.38,0
RAVINDRA JADEJA,2020-10-04,1,30,7.5,0.75,22.56,8.12,0.5,35.5,9.88,25
RAVINDRA JADEJA,2020-10-10,0,7,3.5,0.76,22.61,8.12,0.25,32.5,9.12,6
RAVINDRA JADEJA,2020-10-13,1,21,7.0,0.75,22.51,8.09,0.25,24.25,7.5,25
RAVINDRA JADEJA,2020-10-17,0,35,23.33,0.75,22.5,8.08,0.5,18.5,6.5,0
RAVINDRA JADEJA,2020-10-19,0,11,8.46,0.75,22.58,8.18,0.5,23.25,10.33,0
RAVINDRA JADEJA,2020-10-23,0,15,15.0,0.74,22.5,8.18,0.25,18.5,10.57,0
RAVINDRA JADEJA,2020-10-25,0,20,6.67,0.74,22.45,8.23,0.25,20.5,13.45,2
RAVINDRA JADEJA,2020-10-29,1,20,6.67,0.73,22.44,8.22,0.0,20.25,13.36,27
RAVINDRA JADEJA,2020-11-01,1,17,5.67,0.73,22.42,8.21,0.25,16.5,9.2,29
RAVINDRA JADEJA,2021-04-10,0,16,8.0,0.74,22.39,8.19,0.5,18.0,8.5,0
RAVINDRA JADEJA,2021-04-16,0,19,4.75,0.73,22.35,8.19,0.5,18.25,6.75,6
RAVINDRA JADEJA,2021-04-19,2,28,7.0,0.73,22.32,8.17,0.5,18.0,6.27,50
RAVINDRA JADEJA,2021-04-21,0,33,8.25,0.73,22.36,8.16,0.75,20.0,6.36,0
RAVINDRA JADEJA,2021-04-25,3,13,3.25,0.73,22.43,8.16,0.5,24.0,7.0,81
RAVINDRA JADEJA,2021-04-28,0,23,7.67,0.74,22.37,8.13,1.25,23.25,5.81,0
RAVINDRA JADEJA,2021-05-01,1,29,9.67,0.74,22.37,8.13,1.25,24.25,6.54,25
RAVINDRA JADEJA,2021-09-19,0,13,13.0,0.74,22.41,8.14,1.0,24.5,7.21,0
RAVINDRA JADEJA,2021-09-24,0,31,7.75,0.74,22.36,8.17,1.0,19.5,8.4,0
RAVINDRA JADEJA,2021-09-26,1,21,5.25,0.73,22.41,8.16,0.25,24.0,9.52,29
RAVINDRA JADEJA,2021-09-30,1,14,4.67,0.73,22.4,8.15,0.5,23.5,8.92,31
RAVINDRA JADEJA,2021-10-02,0,9,9.0,0.73,22.35,8.13,0.5,19.75,7.67,0
RAVINDRA JADEJA,2021-10-04,2,28,7.0,0.73,22.27,8.13,0.5,18.75,6.67,50
RAVINDRA JADEJA,2021-10-07,0,9,9.0,0.74,22.3,8.12,1.0,18.0,6.48,0
RAVINDRA JADEJA,2021-10-10,1,23,7.67,0.73,22.22,8.13,0.75,15.0,7.42,25
RAVINDRA JADEJA,2021-10-15,2,37,9.25,0.74,22.23,8.13,0.75,17.25,8.17,50
RAVINDRA JADEJA,2022-03-26,0,25,6.25,0.74,22.32,8.13,1.25,24.25,8.23,2
RAVINDRA JADEJA,2022-03-31,0,21,10.5,0.74,22.33,8.12,0.75,23.5,8.04,0
RAVINDRA JADEJA,2022-04-03,1,34,8.5,0.73,22.32,8.14,0.75,26.5,8.42,25
RAVINDRA JADEJA,2022-04-09,0,21,7.0,0.74,22.39,8.14,0.75,29.25,8.62,0
RAVINDRA JADEJA,2022-04-12,3,39,9.75,0.73,22.38,8.13,0.25,25.25,8.06,75
RAVINDRA JADEJA,2022-04-17,1,25,8.33,0.74,22.48,8.14,1.0,28.75,8.94,25
RAVINDRA JADEJA,2022-04-21,0,30,7.5,0.75,22.49,8.14,1.25,29.75,8.4,0
RAVINDRA JADEJA,2022-04-25,0,18,9.0,0.74,22.53,8.14,1.0,28.75,8.14,0
RAVINDRA JADEJA,2022-05-01,0,15,5.0,0.74,22.51,8.14,1.0,28.0,8.64,4
RAVINDRA JADEJA,2022-05-04,0,20,5.0,0.73,22.47,8.13,0.25,22.0,7.46,4
RAVINDRA JADEJA,2023-03-31,1,28,7.0,0.73,22.45,8.11,0.0,20.75,6.62,25
RAVINDRA JADEJA,2023-04-03,0,14,14.0,0.73,22.48,8.1,0.25,20.25,6.5,0
RAVINDRA JADEJA,2023-04-08,3,20,5.0,0.73,22.44,8.13,0.25,19.25,7.75,79
RAVINDRA JADEJA,2023-04-12,2,21,5.25,0.74,22.42,8.12,1.0,20.5,7.75,54
RAVINDRA JADEJA,2023-04-17,0,37,9.25,0.75,22.42,8.1,1.5,20.75,7.81,0
RAVINDRA JADEJA,2023-04-21,3,22,5.5,0.74,22.49,8.11,1.25,23.0,8.38,79
RAVINDRA JADEJA,2023-04-23,1,34,11.33,0.75,22.49,8.09,2.0,25.0,6.25,25
RAVINDRA JADEJA,2023-04-27,1,32,8.0,0.76,22.55,8.11,1.5,28.5,7.83,25
RAVINDRA JADEJA,2023-04-30,2,32,8.0,0.76,22.6,8.11,1.25,31.25,8.52,50
RAVINDRA JADEJA,2023-05-03,1,11,3.67,0.76,22.65,8.11,1.75,30.0,8.21,31
RAVINDRA JADEJA,2023-05-06,1,37,9.25,0.76,22.59,8.09,1.25,27.25,7.75,25
RAVINDRA JADEJA,2023-05-10,1,19,4.75,0.77,22.67,8.09,1.25,28.0,7.23,31
RAVINDRA JADEJA,2023-05-14,0,18,9.0,0.77,22.65,8.08,1.25,24.75,6.42,0
RAVINDRA JADEJA,2023-05-20,1,50,12.5,0.76,22.62,8.08,0.75,21.25,6.67,25
RAVINDRA JADEJA,2023-05-23,2,18,4.5,0.76,22.76,8.1,0.75,31.0,8.88,56
RAVINDRA JADEJA,2023-05-29,1,38,9.5,0.77,22.74,8.08,1.0,26.25,7.69,25
RAVINDRA JADEJA,2024-03-22,0,21,5.25,0.77,22.82,8.09,1.0,31.0,8.88,4
RAVINDRA JADEJA,2024-03-26,0,15,7.5,0.77,22.81,8.08,1.0,31.75,7.94,0
RAVINDRA JADEJA,2024-03-31,1,43,10.75,0.76,22.77,8.07,0.75,23.0,6.69,25
RAVINDRA JADEJA,2024-04-05,0,30,7.5,0.76,22.87,8.09,0.5,29.25,8.25,0
RAVINDRA JADEJA,2024-04-08,3,18,4.5,0.76,22.91,8.09,0.25,27.25,7.75,81
RAVINDRA JADEJA,2024-04-14,0,37,9.25,0.77,22.88,8.07,1.0,26.5,7.56,0
RAVINDRA JADEJA,2024-04-19,0,32,10.67,0.77,22.95,8.07,1.0,32.0,8.0,0
RAVINDRA JADEJA,2024-04-23,0,16,8.0,0.76,23.0,8.09,0.75,29.25,7.98,0
RAVINDRA JADEJA,2024-04-28,1,22,5.5,0.76,22.96,8.09,0.75,25.75,8.1,29
RAVINDRA JADEJA,2024-05-01,0,22,7.33,0.76,22.96,8.07,0.25,26.75,8.36,0
RAVINDRA JADEJA,2024-05-05,3,20,5.0,0.76,22.95,8.07,0.25,23.0,7.88,79
RAVINDRA JADEJA,2024-05-10,0,29,14.5,0.77,22.94,8.05,1.0,20.0,6.46,0
RAVINDRA JADEJA,2024-05-12,0,24,6.0,0.77,22.97,8.09,1.0,23.25,8.08,2
RAVINDRA JADEJA,2024-05-18,0,40,13.33,0.76,22.97,8.08,0.75,23.75,8.21,0
RAVINDRA JADEJA,2025-03-23,0,21,7.0,0.76,23.05,8.1,0.75,28.25,9.71,0
RAVINDRA JADEJA,2025-03-28,0,37,12.33,0.75,23.04,8.1,0.0,28.5,10.21,0
RAVINDRA JADEJA,2025-03-30,1,10,5.0,0.75,23.11,8.12,0.0,30.5,9.66,29
RAVINDRA JADEJA,2025-04-05,1,19,9.5,0.75,23.05,8.1,0.25,27.0,9.41,25
RAVINDRA JADEJA,2025-04-08,0,18,6.0,0.75,23.03,8.11,0.5,21.75,8.46,2
RAVINDRA JADEJA,2025-04-11,0,9,90.0,0.75,23.0,8.1,0.5,21.0,8.21,0
RAVINDRA JADEJA,2025-04-14,2,24,8.0,0.75,22.94,8.47,0.5,14.0,27.62,50
RAVINDRA JADEJA,2025-04-20,1,28,9.33,0.75,22.94,8.47,0.75,17.5,28.38,25
VIGNESH PUTHUR,2025-03-23,3,32,8.0,0.0,0.0,0.0,0.0,0.0,0.0,75
VIGNESH PUTHUR,2025-03-31,1,21,10.5,3.0,32.0,8.0,3.0,32.0,8.0,25
VIGNESH PUTHUR,2025-04-04,1,31,7.75,2.0,26.5,9.25,2.0,26.5,9.25,25
VIGNESH PUTHUR,2025-04-07,1,10,10.0,1.67,28.0,8.75,1.67,28.0,8.75,25
VIGNESH PUTHUR,2025-04-23,0,15,15.0,1.5,23.5,9.06,1.5,23.5,9.06,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MUJEEB-UR-RAHMAN,2018-04-08,2,28,7.0,0.0,0.0,0.0,0.0,0.0,0.0,50
MUJEEB-UR-RAHMAN,2018-04-13,1,29,7.25,2.0,28.0,7.0,2.0,28.0,7.0,25
MUJEEB-UR-RAHMAN,2018-04-15,0,18,6.0,1.5,28.5,7.12,1.5,28.5,7.12,2
MUJEEB-UR-RAHMAN,2018-04-19,0,27,6.75,1.0,25.0,6.75,1.0,25.0,6.75,2
MUJEEB-UR-RAHMAN,2018-04-21,1,32,8.0,0.75,25.5,6.75,0.75,25.5,6.75,25
MUJEEB-UR-RAHMAN,2018-04-23,2,25,6.25,0.8,26.8,7.0,0.5,26.5,7.0,52
MUJEEB-UR-RAHMAN,2018-04-26,1,17,4.25,1.0,26.5,6.88,0.75,25.5,6.75,31
MUJEEB-UR-RAHMAN,2018-05-04,2,37,9.25,1.0,25.14,6.5,1.0,25.25,6.31,50
MUJEEB-UR-RAHMAN,2018-05-06,3,27,6.75,1.12,26.62,6.84,1.5,27.75,6.94,77
MUJEEB-UR-RAHMAN,2018-05-08,2,21,5.25,1.33,26.67,6.83,2.0,26.5,6.62,54
MUJEEB-UR-RAHMAN,2018-05-12,0,28,12.73,1.4,26.1,6.68,2.0,25.5,6.38,0
MUJEEB-UR-RAHMAN,2019-03-25,2,31,7.75,1.27,26.27,7.23,1.75,28.25,8.5,50
MUJEEB-UR-RAHMAN,2019-04-01,0,36,9.0,1.33,26.67,7.27,1.75,26.75,8.12,0
MUJEEB-UR-RAHMAN,2019-04-08,1,34,8.5,1.23,27.38,7.4,1.0,29.0,8.68,25
